date,ct1_close,ct2_close,ct3_close,atm_iv_30d,ct1_ct2_spread,ct2_ct3_spread,si_carry_approx,pct_si_approx,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,pct_si_zscore_1yr,ct1_ct2_zscore
2023-06-16,81.46,80.1,80.2,21.7,1.36,-0.1,1.6992,-80.04,29.2467,30.3647,0.742,,,0.0678,-0.1043
2023-06-20,80.66,80.7,80.79,21.38,-0.04,-0.09,1.6923,2.36,28.3085,30.3773,0.7553,,,0.4725,-0.4237
2023-06-21,79.31,80.52,80.7,21.02,-1.21,-0.18,1.6807,71.99,28.621,30.4524,0.7344,,,0.8549,-0.7271
2023-06-22,79.29,80.15,80.29,21.28,-0.86,-0.14,1.6806,51.17,27.4976,29.4267,0.7739,,,0.7867,-0.6803
2023-06-23,78.06,78.67,78.88,22.15,-0.61,-0.21,1.67,36.53,27.8318,28.5588,0.7959,,,0.8035,-0.7193
2023-06-26,77.07,77.86,78.05,22.93,-0.79,-0.19,1.6615,47.55,27.7756,28.6495,0.8255,,,1.1693,-1.1343
2023-06-27,77.64,77.06,77.3,23.07,0.58,-0.24,1.6664,-34.81,27.6438,28.6281,0.8345,,,0.3173,-0.3519
2023-06-28,80.12,77.36,77.55,22.45,2.76,-0.19,1.6877,-163.54,28.4145,29.3531,0.7901,,,-1.0403,0.9203
2023-06-29,81.25,79.03,79.04,22.39,2.22,-0.01,1.6974,-130.79,28.4922,29.489,0.7858,,,-0.718,0.6284
2023-06-30,82.84,80.37,80.25,21.99,2.47,0.12,1.711,-144.36,26.2245,29.5656,0.8385,,,-0.8892,0.8044
2023-07-03,81.41,81.24,81.34,22.86,0.17,-0.1,1.6988,-10.01,26.6198,29.7893,0.8588,,,0.5724,-0.5864
2023-07-05,80.23,80.05,80.18,22.59,0.18,-0.13,1.6886,-10.66,26.8493,29.4423,0.8414,,,0.5592,-0.5742
2023-07-06,79.88,79.79,79.96,22.27,0.09,-0.17,1.6856,-5.34,26.542,29.4005,0.839,,,0.6121,-0.6237
2023-07-07,81.17,80.98,81.04,21.8,0.19,-0.06,1.6967,-11.2,26.902,29.5844,0.8103,,,0.5406,-0.5555
2023-07-10,79.25,79.39,79.61,22.84,-0.14,-0.22,1.6802,8.33,26.2273,29.9716,0.8708,,,0.7538,-0.7555
2023-07-11,82.12,81.88,81.88,22.68,0.24,0.0,1.7049,-14.08,27.6556,30.7941,0.8201,,,0.4947,-0.5108
2023-07-12,81.65,81.73,81.77,22.3,-0.08,-0.04,1.7008,4.7,25.1493,30.7929,0.8867,,,0.702,-0.707
2023-07-13,81.68,81.75,81.73,21.32,-0.07,0.02,1.7011,4.11,25.0278,30.7716,0.8519,,,0.6894,-0.6948
2023-07-14,81.22,81.35,81.32,21.36,-0.13,0.03,1.6971,7.66,25.0202,30.6252,0.8537,,,0.7244,-0.7272
2023-07-17,82.13,82.04,82.03,21.32,0.09,0.01,1.7049,-5.28,22.9645,30.5583,0.9284,,,0.5685,-0.5795
2023-07-18,82.25,82.22,82.2,21.35,0.03,0.02,1.706,-1.76,22.9686,28.8002,0.9295,,,0.6035,-0.6123
2023-07-20,84.31,84.3,84.21,21.44,0.01,0.09,1.7237,-0.58,23.2967,28.9185,0.9203,,,0.6057,-0.6136
2023-07-21,84.48,84.43,84.48,21.38,0.05,-0.05,1.7251,-2.9,23.283,28.3872,0.9183,,,0.5721,-0.5812
