date,kc1_close,kc2_close,kc3_close,atm_iv_30d,kc1_kc2_spread,kc2_kc3_spread,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,kc1_kc2_zscore
2025-06-04,320.1,308.65,300.95,35.84,11.45,7.7,29.88,30.82,1.1995,,,
2025-06-05,331.05,318.6,309.55,36.58,12.45,9.05,30.39,31.08,1.2037,,,
2025-06-06,330.2,317.95,309.15,36.96,12.25,8.8,29.15,30.86,1.2679,,,
2025-06-09,331.4,319.4,310.8,36.95,12.0,8.6,29.14,30.82,1.268,,,
2025-06-10,326.45,314.25,305.55,36.7,12.2,8.7,28.46,30.87,1.2895,,,
2025-06-11,322.8,310.6,301.4,36.44,12.2,9.2,27.6,30.67,1.3203,,,
2025-06-12,319.5,307.2,298.15,35.64,12.3,9.05,27.5,30.73,1.296,,,
2025-06-13,321.3,309.05,299.85,35.87,12.25,9.2,25.09,30.55,1.4297,,,
2025-06-16,316.35,304.45,295.5,35.6,11.9,8.95,25.24,30.7,1.4105,,,
2025-06-17,310.4,299.2,291.8,35.63,11.2,7.4,25.42,30.92,1.4017,,,
2025-06-18,300.35,289.9,283.05,35.37,10.45,6.85,26.64,31.55,1.3277,,,
2025-06-20,293.15,283.55,277.5,35.57,9.6,6.05,27.14,31.51,1.3106,,,
2025-06-23,301.35,291.75,285.95,36.8,9.6,5.8,28.51,32.04,1.2908,,,
2025-06-24,288.95,279.6,274.3,36.16,9.35,5.3,30.39,32.85,1.1899,,,
2025-06-25,281.95,273.5,268.85,35.56,8.45,4.65,29.52,33.07,1.2046,,,
2025-06-26,283.7,275.8,271.25,36.17,7.9,4.55,29.09,33.12,1.2434,,,
2025-06-27,280.0,273.2,269.15,36.02,6.8,4.05,28.77,32.56,1.252,,,
2025-06-30,277.8,271.25,267.2,36.38,6.55,4.05,27.66,32.54,1.3153,,,
2025-07-01,270.3,263.7,259.3,35.32,6.6,4.4,28.06,32.87,1.2587,,,
2025-07-02,270.05,263.6,258.8,36.82,6.45,4.8,26.71,31.26,1.3785,,,
2025-07-03,268.7,262.85,258.25,37.24,5.85,4.6,26.71,29.68,1.3942,,,
2025-07-07,258.05,251.9,247.35,38.01,6.15,4.55,28.13,30.66,1.3512,,,
2025-07-08,264.95,258.85,254.15,38.42,6.1,4.7,29.7,31.14,1.2936,,,
2025-07-09,263.7,257.5,252.65,36.56,6.2,4.85,29.66,31.12,1.2326,,,
2025-07-10,265.7,259.6,255.1,37.6,6.1,4.5,29.86,30.75,1.2592,,,
2025-07-11,264.2,258.1,253.75,35.22,6.1,4.35,29.5,30.6,1.1939,,,
2025-07-14,276.85,270.4,265.65,36.33,6.45,4.75,33.25,31.84,1.0926,,,
2025-07-15,272.3,265.65,261.1,35.85,6.65,4.55,33.26,31.73,1.0779,,,
2025-07-16,281.35,274.45,269.55,36.23,6.9,4.9,34.93,32.58,1.0372,,,
2025-07-17,278.75,271.8,266.7,35.69,6.95,5.1,34.97,32.45,1.0206,,,
2025-07-18,276.95,269.9,264.55,35.61,7.05,5.35,34.24,31.98,1.04,,,
2025-07-21,268.0,262.2,257.6,36.55,5.8,4.6,33.16,31.88,1.1022,,,
2025-07-22,253.1,264.7,260.15,36.68,-11.6,4.55,36.16,33.0,1.0144,,,
2025-07-23,256.5,269.05,264.1,35.71,-12.55,4.95,36.56,33.16,0.9768,,,
2025-07-24,259.35,271.85,266.95,35.92,-12.5,4.9,36.94,32.87,0.9724,,,
2025-07-25,254.95,266.5,261.9,35.4,-11.55,4.6,37.03,32.62,0.956,,,
2025-07-28,259.35,270.7,266.2,34.76,-11.35,4.5,37.72,32.84,0.9215,,,
2025-07-29,257.45,267.7,263.9,34.52,-10.25,3.8,37.53,31.95,0.9198,,,
2025-07-30,255.15,264.8,261.0,34.9,-9.65,3.8,37.45,31.87,0.9319,,,
2025-07-31,256.55,266.15,262.35,35.42,-9.6,3.8,37.45,31.81,0.9458,,,
2025-08-01,260.85,255.2,251.4,36.9,5.65,3.8,46.61,38.84,0.7917,,,
2025-08-04,265.0,259.2,255.35,37.01,5.8,3.85,46.96,39.08,0.7881,,,
2025-08-05,272.8,266.8,262.6,37.2,6.0,4.2,46.56,39.63,0.799,,,
2025-08-06,268.45,262.4,258.35,36.82,6.05,4.05,45.1,39.66,0.8164,,,
2025-08-07,273.3,267.15,263.0,36.62,6.15,4.15,45.33,39.36,0.8079,,,
2025-08-08,281.95,275.8,271.6,36.82,6.15,4.2,46.43,39.96,0.793,,,
2025-08-11,291.35,284.65,280.2,36.84,6.7,4.45,47.57,40.3,0.7744,,,
2025-08-12,286.0,279.25,274.8,36.94,6.75,4.45,47.76,39.88,0.7735,,,
2025-08-13,290.25,283.45,278.7,35.86,6.8,4.75,47.46,39.83,0.7556,,,
2025-08-14,295.8,289.0,284.15,35.52,6.8,4.85,47.8,39.68,0.7431,,,
2025-08-15,307.6,299.75,294.1,35.35,7.85,5.65,48.82,40.58,0.7241,,,
2025-08-18,310.5,301.95,295.9,35.63,8.55,6.05,46.89,40.65,0.7599,,,
2025-08-19,322.0,311.45,303.2,35.39,10.55,8.25,47.42,41.14,0.7463,,,
2025-08-20,327.1,316.4,307.45,37.01,10.7,8.95,47.46,41.29,0.7798,,,
2025-08-21,336.75,323.85,312.4,38.38,12.9,11.45,47.92,41.77,0.8009,,,
2025-08-22,348.6,333.9,321.2,38.39,14.7,12.7,48.58,42.04,0.7902,,,
2025-08-25,349.45,335.05,322.35,39.14,14.4,12.7,46.09,41.99,0.8492,,,
2025-08-26,344.5,331.1,318.95,39.11,13.4,12.15,46.12,41.94,0.848,,,
2025-08-27,352.8,338.8,325.7,39.04,14.0,13.1,45.12,42.21,0.8652,,,
2025-08-28,346.8,333.6,321.6,39.53,13.2,12.0,45.43,42.3,0.8701,,,
2025-08-29,352.2,338.6,326.35,39.51,13.6,12.25,45.33,42.3,0.8716,,,
2025-09-02,336.8,322.9,311.25,40.04,13.9,11.65,45.88,42.53,0.8727,,,
2025-09-03,339.5,325.7,313.8,39.77,13.8,11.9,35.62,42.56,1.1165,,,
2025-09-04,339.55,325.4,313.5,39.32,14.15,11.9,35.56,42.5,1.1057,,,
2025-09-05,338.35,324.5,313.15,39.26,13.85,11.35,35.67,42.36,1.1006,,,
2025-09-08,348.5,333.75,321.6,39.58,14.75,12.15,35.32,42.74,1.1206,,,
2025-09-09,345.05,330.85,318.9,39.65,14.2,11.95,35.62,42.75,1.1131,,,
2025-09-10,349.15,334.6,322.25,39.59,14.55,12.35,35.07,42.81,1.1289,,,
2025-09-11,348.85,334.95,323.35,39.4,13.9,11.6,34.71,42.67,1.1351,,,
2025-09-12,356.4,341.7,329.6,39.65,14.7,12.1,34.89,42.59,1.1364,,,
2025-09-15,373.5,358.0,345.25,40.51,15.5,12.75,33.25,43.0,1.2183,,,
2025-09-16,363.3,348.85,337.25,40.59,14.45,11.6,35.15,43.24,1.1548,,,
2025-09-17,331.15,317.8,307.5,40.92,13.35,10.3,45.69,46.87,0.8956,,,
2025-09-18,333.4,319.75,309.3,40.03,13.65,10.45,45.19,45.88,0.8858,,,
2025-09-19,319.25,274.9,298.15,40.32,44.35,-23.25,47.37,46.55,0.8512,,,
